year,stage,team,ranking
2012,J1,サンフレッチェ広島,1
2012,J1,ベガルタ仙台,2
2012,J1,浦和レッズ,3
2012,J1,横浜Ｆ・マリノス,4
2012,J1,サガン鳥栖,5
2012,J1,柏レイソル,6
2012,J1,名古屋グランパス,7
2012,J1,川崎フロンターレ,8
2012,J1,エスパルス,9
2012,J1,FC東京,10
2012,J1,鹿島アントラーズ,11
2012,J1,ジュビロ磐田,12
2012,J1,大宮アルディージャ,13
2012,J1,セレッソ大阪,14
2012,J1,アルビレックス新潟,15
2012,J1,ヴィッセル神戸,16
2012,J1,ガンバ大阪,17
2012,J1,コンサドーレ札幌,18
2013,J1,サンフレッチェ広島,1
2013,J1,横浜Ｆ・マリノス,2
2013,J1,川崎フロンターレ,3
2013,J1,セレッソ大阪,4
2013,J1,鹿島アントラーズ,5
2013,J1,浦和レッズ,6
2013,J1,アルビレックス新潟,7
2013,J1,FC東京,8
2013,J1,清水エスパルス,9
2013,J1,柏レイソル,10
2013,J1,名古屋グランパス,11
2013,J1,サガン鳥栖,12
2013,J1,ベガルタ仙台,13
2013,J1,大宮アルディージャ,14
2013,J1,ヴァンフォーレ甲府,15
2013,J1,湘南ベルマーレ,16
2013,J1,ジュビロ磐田,17
2013,J1,大分トリニータ,18
2014,J1,ガンバ大阪,1
2014,J1,浦和レッズ,2
2014,J1,鹿島アントラーズ,3
2014,J1,柏レイソル,4
2014,J1,サガン鳥栖,5
2014,J1,川崎フロンターレ,6
2014,J1,横浜Ｆ・マリノス,7
2014,J1,サンフレッチェ広島,8
2014,J1,FC東京,9
2014,J1,名古屋グランパス,10
2014,J1,ヴィッセル神戸,11
2014,J1,アルビレックス新潟,12
2014,J1,ヴァンフォーレ甲府,13
2014,J1,ベガルタ仙台,14
2014,J1,清水エスパルス,15
2014,J1,大宮アルディージャ,16
2014,J1,セレッソ大阪,17
2014,J1,徳島ヴォルティス,18
2012,J2,ヴァンフォーレ甲府,1
2012,J2,湘南ベルマーレ,2
2012,J2,京都サンガF.C.,3
2012,J2,横浜FC,4
2012,J2,ジェフユナイテッド千葉,5
2012,J2,大分トリニータ,6
2012,J2,東京ヴェルディ,7
2012,J2,ファジアーノ岡山,8
2012,J2,ギラヴァンツ北九州,9
2012,J2,モンテディオ山形,10
2012,J2,栃木SC,11
2012,J2,松本山雅FC,12
2012,J2,水戸ホーリーホック,13
2012,J2,ロアッソ熊本,14
2012,J2,徳島ヴォルティス,15
2012,J2,愛媛FC,16
2012,J2,ザスパ草津,17
2012,J2,アビスパ福岡,18
2012,J2,カターレ富山,19
2012,J2,ガイナーレ鳥取,20
2012,J2,FC岐阜,21
2012,J2,FC町田ゼルビア,22
2013,J2,ガンバ大阪,1
2013,J2,ヴィッセル神戸,2
2013,J2,京都サンガF.C.,3
2013,J2,徳島ヴォルティス,4
2013,J2,ジェフユナイテッド千葉,5
2013,J2,Ｖ・ファーレン長崎,6
2013,J2,松本山雅FC,7
2013,J2,コンサドーレ札幌,8
2013,J2,栃木SC,9
2013,J2,モンテディオ山形,10
2013,J2,横浜FC,11
2013,J2,ファジアーノ岡山,12
2013,J2,東京ヴェルディ,13
2013,J2,アビスパ福岡,14
2013,J2,水戸ホーリーホック,15
2013,J2,ギラヴァンツ北九州,16
2013,J2,愛媛FC,17
2013,J2,カターレ富山,18
2013,J2,ロアッソ熊本,19
2013,J2,ザスパクサツ群馬,20
2013,J2,FC岐阜,21
2013,J2,ガイナーレ鳥取,22
2014,J2,湘南ベルマーレ,1
2014,J2,松本山雅FC,2
2014,J2,ジェフユナイテッド千葉,3
2014,J2,ジュビロ磐田,4
2014,J2,ギラヴァンツ北九州,5
2014,J2,モンテディオ山形,6
2014,J2,大分トリニータ,7
2014,J2,ファジアーノ岡山,8
2014,J2,京都サンガF.C.,9
2014,J2,コンサドーレ札幌,10
2014,J2,横浜FC,11
2014,J2,栃木SC,12
2014,J2,ロアッソ熊本,13
2014,J2,Ｖ・ファーレン長崎,14
2014,J2,水戸ホーリーホック,15
2014,J2,アビスパ福岡,16
2014,J2,FC岐阜,17
2014,J2,ザスパクサツ群馬,18
2014,J2,愛媛FC,19
2014,J2,東京ヴェルディ,20
2014,J2,カマタマーレ讃岐,21
2014,J2,カターレ富山,22
